Tiempo (s)	Voltaje de entrada (V)	Corriente de salida (A)
3.903903904	14.30378733	0.143037873
3.913913914	14.30378733	0.143037873
3.923923924	14.30378733	0.143037873
3.933933934	14.30378733	0.143037873
3.943943944	14.30378733	0.143037873
3.953953954	14.30378733	0.143037873
3.963963964	14.30378733	0.143037873
3.973973974	14.30378733	0.143037873
3.983983984	14.30378733	0.143037873
3.993993994	14.30378733	0.143037873
4.004004004	12.05526752	0.143002777
4.014014014	12.05526752	0.142636087
4.024024024	12.05526752	0.141935529
4.034034034	12.05526752	0.140974385
4.044044044	12.05526752	0.139817353
4.054054054	12.05526752	0.138520954
4.064064064	12.05526752	0.137133978
4.074074074	12.05526752	0.135698006
4.084084084	12.05526752	0.134247964
4.094094094	12.05526752	0.132812697
4.104104104	12.05526752	0.13141555
4.114114114	12.05526752	0.130074936
4.124124124	12.05526752	0.128804902
4.134134134	12.05526752	0.127615672
4.144144144	12.05526752	0.126514147
4.154154154	12.05526752	0.125504385
4.164164164	12.05526752	0.124588046
4.174174174	12.05526752	0.123764796
4.184184184	12.05526752	0.12303267
4.194194194	12.05526752	0.122388409
4.204204204	12.05526752	0.121827753
4.214214214	12.05526752	0.121345701
4.224224224	12.05526752	0.120936732
4.234234234	12.05526752	0.120594999
4.244244244	12.05526752	0.1203145
4.254254254	12.05526752	0.120089212
4.264264264	12.05526752	0.119913201
4.274274274	12.05526752	0.119780719
4.284284284	12.05526752	0.119686271
4.294294294	12.05526752	0.119624667
4.304304304	12.05526752	0.119591067
4.314314314	12.05526752	0.119580997
4.324324324	12.05526752	0.119590373
4.334334334	12.05526752	0.119615495
4.344344344	12.05526752	0.119653051
4.354354354	12.05526752	0.119700105
4.364364364	12.05526752	0.11975408
4.374374374	12.05526752	0.119812741
4.384384384	12.05526752	0.119874176
4.394394394	12.05526752	0.119936766
4.404404404	12.05526752	0.119999167
4.414414414	12.05526752	0.120060283
4.424424424	12.05526752	0.120119237
4.434434434	12.05526752	0.120175352
4.444444444	12.05526752	0.120228128
4.454454454	12.05526752	0.120277212
4.464464464	12.05526752	0.120322386
4.474474474	12.05526752	0.120363539
4.484484484	12.05526752	0.120400655
4.494494494	12.05526752	0.120433795
4.504504505	12.05526752	0.120463078
4.514514515	12.05526752	0.120488672
4.524524525	12.05526752	0.120510783
4.534534535	12.05526752	0.120529641
4.544544545	12.05526752	0.120545496
4.554554555	12.05526752	0.120558605
4.564564565	12.05526752	0.120569228
4.574574575	12.05526752	0.120577623
4.584584585	12.05526752	0.120584043
4.594594595	12.05526752	0.120588729
4.604604605	12.05526752	0.120591912
4.614614615	12.05526752	0.120593805
4.624624625	12.05526752	0.12059461
4.634634635	12.05526752	0.120594508
4.644644645	12.05526752	0.120593666
4.654654655	12.05526752	0.120592233
4.664664665	12.05526752	0.120590343
4.674674675	12.05526752	0.120588113
4.684684685	12.05526752	0.120585645
4.694694695	12.05526752	0.120583028
4.704704705	12.05526752	0.120580334
4.714714715	12.05526752	0.120577628
4.724724725	12.05526752	0.12057496
4.734734735	12.05526752	0.120572373
4.744744745	12.05526752	0.120569897
4.754754755	12.05526752	0.120567559
4.764764765	12.05526752	0.120565375
4.774774775	12.05526752	0.120563357
4.784784785	12.05526752	0.120561512
4.794794795	12.05526752	0.120559842
4.804804805	12.05526752	0.120558344
4.814814815	12.05526752	0.120557016
4.824824825	12.05526752	0.12055585
4.834834835	12.05526752	0.120554837
4.844844845	12.05526752	0.120553969
4.854854855	12.05526752	0.120553235
4.864864865	12.05526752	0.120552625
4.874874875	12.05526752	0.120552126
4.884884885	12.05526752	0.120551727
4.894894895	12.05526752	0.120551418
4.904904905	12.05526752	0.120551187
4.914914915	12.05526752	0.120551025
4.924924925	12.05526752	0.120550922
4.934934935	12.05526752	0.12055087
4.944944945	12.05526752	0.12055086
4.954954955	12.05526752	0.120550885
4.964964965	12.05526752	0.120550938
4.974974975	12.05526752	0.120551013
4.984984985	12.05526752	0.120551104
4.994994995	12.05526752	0.120551207
5.005005005	12.05526752	0.120551318
5.015015015	12.05526752	0.120551434
5.025025025	12.05526752	0.120551551
5.035035035	12.05526752	0.120551668
5.045045045	12.05526752	0.120551781
5.055055055	12.05526752	0.12055189
5.065065065	12.05526752	0.120551994
5.075075075	12.05526752	0.120552091
5.085085085	12.05526752	0.120552181
5.095095095	12.05526752	0.120552264
5.105105105	12.05526752	0.120552338
5.115115115	12.05526752	0.120552406
5.125125125	12.05526752	0.120552465
5.135135135	12.05526752	0.120552518
5.145145145	12.05526752	0.120552564
5.155155155	12.05526752	0.120552603
5.165165165	12.05526752	0.120552637
5.175175175	12.05526752	0.120552666
5.185185185	12.05526752	0.120552689
5.195195195	12.05526752	0.120552708
5.205205205	12.05526752	0.120552723
5.215215215	12.05526752	0.120552735
5.225225225	12.05526752	0.120552743
5.235235235	12.05526752	0.120552749
5.245245245	12.05526752	0.120552752
5.255255255	12.05526752	0.120552753
5.265265265	12.05526752	0.120552753
5.275275275	12.05526752	0.120552751
5.285285285	12.05526752	0.120552749
5.295295295	12.05526752	0.120552745
5.305305305	12.05526752	0.120552741
5.315315315	12.05526752	0.120552736
5.325325325	12.05526752	0.120552731
5.335335335	12.05526752	0.120552726
5.345345345	12.05526752	0.120552721
5.355355355	12.05526752	0.120552716
5.365365365	12.05526752	0.120552711
5.375375375	12.05526752	0.120552707
5.385385385	12.05526752	0.120552703
5.395395395	12.05526752	0.120552699
5.405405405	12.05526752	0.120552695
5.415415415	12.05526752	0.120552692
5.425425425	12.05526752	0.120552689
5.435435435	12.05526752	0.120552686
5.445445445	12.05526752	0.120552684
5.455455455	12.05526752	0.120552682
5.465465465	12.05526752	0.12055268
5.475475475	12.05526752	0.120552678
5.485485485	12.05526752	0.120552677
5.495495495	12.05526752	0.120552676
5.505505506	12.05526752	0.120552675
5.515515516	12.05526752	0.120552674
5.525525526	12.05526752	0.120552674
5.535535536	12.05526752	0.120552673
5.545545546	12.05526752	0.120552673
5.555555556	12.05526752	0.120552673
5.565565566	12.05526752	0.120552673
5.575575576	12.05526752	0.120552673
5.585585586	12.05526752	0.120552673
5.595595596	12.05526752	0.120552673
5.605605606	12.05526752	0.120552673
5.615615616	12.05526752	0.120552673
5.625625626	12.05526752	0.120552673
5.635635636	12.05526752	0.120552673
5.645645646	12.05526752	0.120552673
5.655655656	12.05526752	0.120552673
5.665665666	12.05526752	0.120552673
5.675675676	12.05526752	0.120552674
5.685685686	12.05526752	0.120552674
5.695695696	12.05526752	0.120552674
5.705705706	12.05526752	0.120552674
5.715715716	12.05526752	0.120552674
5.725725726	12.05526752	0.120552674
5.735735736	12.05526752	0.120552674
5.745745746	12.05526752	0.120552674
5.755755756	12.05526752	0.120552674
5.765765766	12.05526752	0.120552674
5.775775776	12.05526752	0.120552675
5.785785786	12.05526752	0.120552675
5.795795796	12.05526752	0.120552675
5.805805806	12.05526752	0.120552675
5.815815816	12.05526752	0.120552675
5.825825826	12.05526752	0.120552675
5.835835836	12.05526752	0.120552675
5.845845846	12.05526752	0.120552675
5.855855856	12.05526752	0.120552675
5.865865866	12.05526752	0.120552675
5.875875876	12.05526752	0.120552675
5.885885886	12.05526752	0.120552675
5.895895896	12.05526752	0.120552675
5.905905906	12.05526752	0.120552675
5.915915916	12.05526752	0.120552675
5.925925926	12.05526752	0.120552675
5.935935936	12.05526752	0.120552675
5.945945946	12.05526752	0.120552675
5.955955956	12.05526752	0.120552675
5.965965966	12.05526752	0.120552675
5.975975976	12.05526752	0.120552675
5.985985986	12.05526752	0.120552675
5.995995996	12.05526752	0.120552675
6.006006006	10.89766366	0.120512564
6.016016016	10.89766366	0.120286169
6.026026026	10.89766366	0.119895795
6.036036036	10.89766366	0.119378274
6.046046046	10.89766366	0.118766053
6.056056056	10.89766366	0.118087413
6.066066066	10.89766366	0.117366715
6.076076076	10.89766366	0.116624653
6.086086086	10.89766366	0.115878558
6.096096096	10.89766366	0.115142689
6.106106106	10.89766366	0.114428533
6.116116116	10.89766366	0.113745099
6.126126126	10.89766366	0.113099206
6.136136136	10.89766366	0.112495752
6.146146146	10.89766366	0.111937979
6.156156156	10.89766366	0.11142771
6.166166166	10.89766366	0.11096558
6.176176176	10.89766366	0.110551234
6.186186186	10.89766366	0.110183515
6.196196196	10.89766366	0.109860627
6.206206206	10.89766366	0.109580293
6.216216216	10.89766366	0.109339876
6.226226226	10.89766366	0.109136495
6.236236236	10.89766366	0.108967115
6.246246246	10.89766366	0.108828639
6.256256256	10.89766366	0.10871797
6.266266266	10.89766366	0.10863207
6.276276276	10.89766366	0.108568003
6.286286286	10.89766366	0.108522969
6.296296296	10.89766366	0.108494331
6.306306306	10.89766366	0.108479633
6.316316316	10.89766366	0.108476614
6.326326326	10.89766366	0.108483209
6.336336336	10.89766366	0.108497553
6.346346346	10.89766366	0.108517981
6.356356356	10.89766366	0.108543019
6.366366366	10.89766366	0.108571377
6.376376376	10.89766366	0.108601937
6.386386386	10.89766366	0.108633746
6.396396396	10.89766366	0.108666001
6.406406406	10.89766366	0.108698036
6.416416416	10.89766366	0.108729311
6.426426426	10.89766366	0.108759395
6.436436436	10.89766366	0.10878796
6.446446446	10.89766366	0.108814764
6.456456456	10.89766366	0.108839639
6.466466466	10.89766366	0.108862485
6.476476476	10.89766366	0.108883256
6.486486486	10.89766366	0.108901952
6.496496496	10.89766366	0.10891861
6.506506507	10.89766366	0.108933297
6.516516517	10.89766366	0.108946107
6.526526527	10.89766366	0.108957146
6.536536537	10.89766366	0.108966537
6.546546547	10.89766366	0.108974407
6.556556557	10.89766366	0.108980889
6.566566567	10.89766366	0.108986117
6.576576577	10.89766366	0.108990225
6.586586587	10.89766366	0.108993341
6.596596597	10.89766366	0.108995589
6.606606607	10.89766366	0.108997086
6.616616617	10.89766366	0.10899794
6.626626627	10.89766366	0.108998253
6.636636637	10.89766366	0.108998117
6.646646647	10.89766366	0.108997616
6.656656657	10.89766366	0.108996826
6.666666667	10.89766366	0.108995813
6.676676677	10.89766366	0.108994636
6.686686687	10.89766366	0.108993346
6.696696697	10.89766366	0.108991988
6.706706707	10.89766366	0.108990597
6.716716717	10.89766366	0.108989206
6.726726727	10.89766366	0.108987839
6.736736737	10.89766366	0.108986517
6.746746747	10.89766366	0.108985255
6.756756757	10.89766366	0.108984067
6.766766767	10.89766366	0.108982959
6.776776777	10.89766366	0.108981938
6.786786787	10.89766366	0.108981006
6.796796797	10.89766366	0.108980164
6.806806807	10.89766366	0.108979411
6.816816817	10.89766366	0.108978745
6.826826827	10.89766366	0.108978161
6.836836837	10.89766366	0.108977656
6.846846847	10.89766366	0.108977223
6.856856857	10.89766366	0.108976859
6.866866867	10.89766366	0.108976556
6.876876877	10.89766366	0.108976309
6.886886887	10.89766366	0.108976113
6.896896897	10.89766366	0.108975962
6.906906907	10.89766366	0.10897585
6.916916917	10.89766366	0.108975773
6.926926927	10.89766366	0.108975726
6.936936937	10.89766366	0.108975704
6.946946947	10.89766366	0.108975704
6.956956957	10.89766366	0.10897572
6.966966967	10.89766366	0.10897575
6.976976977	10.89766366	0.10897579
6.986986987	10.89766366	0.108975838
6.996996997	10.89766366	0.108975892
7.007007007	10.89766366	0.10897595
7.017017017	10.89766366	0.108976009
7.027027027	10.89766366	0.108976069
7.037037037	10.89766366	0.108976129
7.047047047	10.89766366	0.108976187
7.057057057	10.89766366	0.108976243
7.067067067	10.89766366	0.108976296
7.077077077	10.89766366	0.108976345
7.087087087	10.89766366	0.108976391
7.097097097	10.89766366	0.108976433
7.107107107	10.89766366	0.108976471
7.117117117	10.89766366	0.108976505
7.127127127	10.89766366	0.108976535
7.137137137	10.89766366	0.108976562
7.147147147	10.89766366	0.108976585
7.157157157	10.89766366	0.108976605
7.167167167	10.89766366	0.108976621
7.177177177	10.89766366	0.108976635
7.187187187	10.89766366	0.108976647
7.197197197	10.89766366	0.108976656
7.207207207	10.89766366	0.108976663
7.217217217	10.89766366	0.108976668
7.227227227	10.89766366	0.108976672
7.237237237	10.89766366	0.108976675
7.247247247	10.89766366	0.108976676
7.257257257	10.89766366	0.108976677
7.267267267	10.89766366	0.108976676
7.277277277	10.89766366	0.108976675
7.287287287	10.89766366	0.108976674
7.297297297	10.89766366	0.108976672
7.307307307	10.89766366	0.10897667
7.317317317	10.89766366	0.108976667
7.327327327	10.89766366	0.108976665
7.337337337	10.89766366	0.108976662
7.347347347	10.89766366	0.10897666
7.357357357	10.89766366	0.108976657
7.367367367	10.89766366	0.108976655
7.377377377	10.89766366	0.108976652
7.387387387	10.89766366	0.10897665
7.397397397	10.89766366	0.108976648
7.407407407	10.89766366	0.108976646
7.417417417	10.89766366	0.108976644
7.427427427	10.89766366	0.108976643
7.437437437	10.89766366	0.108976641
7.447447447	10.89766366	0.10897664
7.457457457	10.89766366	0.108976639
7.467467467	10.89766366	0.108976638
7.477477477	10.89766366	0.108976638
7.487487487	10.89766366	0.108976637
7.497497497	10.89766366	0.108976636
7.507507508	10.89766366	0.108976636
7.517517518	10.89766366	0.108976636
7.527527528	10.89766366	0.108976636
7.537537538	10.89766366	0.108976636
7.547547548	10.89766366	0.108976636
7.557557558	10.89766366	0.108976636
7.567567568	10.89766366	0.108976636
7.577577578	10.89766366	0.108976636
7.587587588	10.89766366	0.108976636
7.597597598	10.89766366	0.108976636
7.607607608	10.89766366	0.108976636
7.617617618	10.89766366	0.108976636
7.627627628	10.89766366	0.108976636
7.637637638	10.89766366	0.108976636
7.647647648	10.89766366	0.108976636
7.657657658	10.89766366	0.108976636
7.667667668	10.89766366	0.108976636
7.677677678	10.89766366	0.108976636
7.687687688	10.89766366	0.108976636
7.697697698	10.89766366	0.108976636
7.707707708	10.89766366	0.108976636
7.717717718	10.89766366	0.108976636
7.727727728	10.89766366	0.108976636
7.737737738	10.89766366	0.108976636
7.747747748	10.89766366	0.108976636
7.757757758	10.89766366	0.108976636
7.767767768	10.89766366	0.108976636
7.777777778	10.89766366	0.108976636
7.787787788	10.89766366	0.108976636
7.797797798	10.89766366	0.108976636
7.807807808	10.89766366	0.108976636
